Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
281,clyde river,70.47,-68.59,11.0,8.82,11.0,11.0,76,2.1,40,CA,-14400,Qamaq Hotel
422,cockburn town,21.46,-71.14,28.0,27.81,28.0,28.0,74,7.7,20,TC,-14400,Osprey Beach Hotel
506,cocobeach,1.0,9.58,26.0,28.11,26.0,26.0,78,3.6,20,GA,3600,Hôtel A Cocobeach
365,comodoro rivadavia,-45.87,-67.5,7.0,-0.89,7.0,7.0,56,8.2,63,AR,-10800,Austral Hotel
192,constitucion,-35.33,-72.42,10.63,7.92,10.63,10.63,66,2.13,0,CL,-14400,Hotel Boutique Las Azucenas
35,coquimbo,-29.95,-71.34,14.0,9.54,14.0,14.0,67,5.7,0,CL,-14400,Hotel San Juan
292,cururupu,-1.83,-44.87,25.88,29.16,25.88,25.88,78,1.84,90,BR,-10800,Pousada Través'cia
172,dicabisagan,17.08,122.42,26.11,29.75,26.11,26.11,78,1.49,7,PH,28800,missing value
3,diego de almagro,-26.37,-70.05,17.8,12.12,17.8,17.8,18,4.12,0,CL,-14400,hotel luna del desierto
601,dukat,62.55,155.55,21.86,20.4,21.86,21.86,35,0.69,61,RU,39600,missing value
479,dunedin,-45.87,170.5,9.4,6.72,8.89,10.0,50,0.89,85,NZ,43200,Scenic Hotel Southern Cross
13,east london,-33.02,27.91,18.19,14.22,18.19,18.19,30,2.91,0,ZA,7200,Tu Casa
266,egvekinot,66.32,-179.17,10.26,7.68,10.26,10.26,64,1.74,74,RU,43200,missing value
435,elat,29.56,34.95,34.0,29.86,34.0,34.0,24,6.2,0,IL,10800,Club Hotel Eilat
346,evensk,61.95,159.23,14.81,13.03,14.81,14.81,70,2.38,42,RU,39600,missing value
231,eyl,7.98,49.82,25.11,20.45,25.11,25.11,69,11.28,91,SO,10800,Amiin Hotel
248,faanui,-16.48,-151.75,25.27,22.86,25.27,25.27,78,9.53,0,PF,-36000,Bora-Bora Pearl Beach Resort & Spa
463,fort nelson,58.81,-122.7,20.0,17.05,20.0,20.0,60,5.1,75,CA,-25200,The Fort Nelson Hotel
225,francistown,-21.17,27.51,13.38,8.92,13.38,13.38,59,4.92,53,BW,7200,Budget House
502,garowe,8.41,48.48,26.66,23.37,26.66,26.66,48,6.87,41,SO,10800,Curubo Hotel
258,gazli,40.13,63.45,27.47,22.47,27.47,27.47,21,5.04,0,UZ,18000,missing value
314,general roca,-39.03,-67.58,9.0,2.16,9.0,9.0,49,6.7,0,AR,-10800,Hotel El Recreo
139,geraldton,-28.77,114.6,8.0,0.73,8.0,8.0,70,8.2,0,AU,28800,Broadwater Mariner Resort
216,gerede,40.8,32.2,12.86,12.1,12.86,12.86,79,0.89,0,TR,10800,Hotel Konuk
420,goiatuba,-18.01,-49.35,22.66,20.25,22.66,22.66,36,2.39,0,BR,-10800,Hotel Barrocos
110,gornopravdinsk,60.05,69.9,10.53,8.33,10.53,10.53,72,1.74,11,RU,18000,missing value
81,grindavik,63.84,-22.43,8.0,-0.39,8.0,8.0,70,9.8,20,IS,0,Northern Light Inn & Max's Restaurant
293,guerrero negro,27.98,-114.06,24.1,20.36,24.1,24.1,53,7.11,1,MX,-21600,"Casa Laguna, Bed & Breakfast"
331,haines junction,60.75,-137.51,15.29,11.58,15.29,15.29,53,3.92,99,CA,-25200,Parkside Inn
480,hami,42.8,93.45,24.86,22.7,24.86,24.86,35,2.54,0,CN,28800,Laoyutang Resort
164,hammerfest,70.66,23.68,17.0,13.57,17.0,17.0,77,6.2,40,NO,7200,Skytterhuset
213,havoysund,71.0,24.66,15.03,11.02,13.0,17.0,77,6.2,40,NO,7200,Arctic View Glamping & Restaurant
587,havre-saint-pierre,50.23,-63.6,19.0,14.12,19.0,19.0,72,8.7,75,CA,-14400,Auberge Niapiskau
197,hay river,60.82,-115.8,14.0,9.66,14.0,14.0,76,6.2,75,CA,-21600,Ptarmigan Inn Hotels
378,hofn,64.25,-15.21,11.08,6.55,11.08,11.08,58,4.36,50,IS,0,Hótel Höfn
244,hohhot,40.81,111.65,22.0,22.17,22.0,22.0,64,2.0,87,CN,28800,Sheraton Hohhot Hotel
307,hualmay,-11.1,-77.61,18.97,15.65,18.97,18.97,70,6.25,29,PE,-18000,Hotel Restaurant Turístico Casablanca
208,huarmey,-10.07,-78.15,19.52,16.42,19.52,19.52,70,6.19,41,PE,-18000,Hotel Miramar
445,hun,29.13,15.95,26.22,23.19,26.22,26.22,41,5.18,0,LY,7200,Alrwasi Hotel
156,husavik,66.04,-17.34,8.0,3.78,8.0,8.0,65,3.6,75,IS,0,Bjarnabúð
149,iacu,-12.77,-40.21,22.58,21.45,22.58,22.58,61,3.75,7,BR,-10800,Pousada e Restaurante Portal da Chapada
77,igarka,67.47,86.58,8.85,5.05,8.85,8.85,75,3.73,7,RU,25200,"Zapolyar'ye, Gostinitsa"
448,ihlow,51.88,13.33,19.98,18.93,18.89,21.0,52,1.5,75,DE,7200,Heumann
59,ivdel,60.69,60.42,11.11,8.78,11.11,11.11,73,2.16,37,RU,18000,Ivdel'
536,izberbash,42.57,47.86,23.44,26.14,23.0,23.89,78,1.0,20,RU,10800,Ramina
544,jaguarari,-10.26,-40.2,20.81,18.3,20.81,20.81,54,4.11,23,BR,-10800,Hotel Quintal De Casa
517,jamame,0.07,42.75,24.22,22.65,24.22,24.22,72,6.76,25,SO,10800,missing value
125,kaeo,-35.1,173.78,8.89,4.06,8.89,8.89,3,1.34,84,NZ,43200,Bushido Lodge
264,kaitangata,-46.28,169.85,10.0,4.74,10.0,10.0,54,4.92,64,NZ,43200,Kaitangata Motor Camp
157,kamenka,51.32,42.77,12.77,12.07,12.22,13.33,80,0.84,0,RU,10800,missing value
148,kampene,-3.6,26.67,22.43,22.19,22.43,22.43,47,0.63,19,CD,7200,missing value
